"","pubname","publisher","X_gddid","title","doi","coverDate","URL","authors","highlight","filename","searchterm","coveryear"
"1","Ecological Economics","Elsevier","579eb8e4cf58f1ba4e423eef","Certified organic agriculture in China and Brazil: Market accessibility and outcomes following adoption","10.1016/j.ecolecon.2010.04.016","15 July 2010","http://www.sciencedirect.com/science/article/pii/S092180091000159X","Oelofse, Myles; Høgh-Jensen, Henning; Abreu, Lucimar S.; Almeida, Gustavo F.; Hui, Qiao Yu; Sultan, Tursinbek; de Neergaard, Andreas","increase following adoption due to more labour intensive management (Parrot et al., 2006).","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/management of parrot.txt","management of parrot",2010
"2","Ecological Economics","Elsevier","579eb8e4cf58f1ba4e423eef","Certified organic agriculture in China and Brazil: Market accessibility and outcomes following adoption","10.1016/j.ecolecon.2010.04.016","15 July 2010","http://www.sciencedirect.com/science/article/pii/S092180091000159X","Oelofse, Myles; Høgh-Jensen, Henning; Abreu, Lucimar S.; Almeida, Gustavo F.; Hui, Qiao Yu; Sultan, Tursinbek; de Neergaard, Andreas","labour intensive management (Parrot et al., 2006). Labour requirement is compared","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/management of parrot.txt","management of parrot",2010
"3","Ecological Economics","Elsevier","579eb8e4cf58f1ba4e423eef","Certified organic agriculture in China and Brazil: Market accessibility and outcomes following adoption","10.1016/j.ecolecon.2010.04.016","15 July 2010","http://www.sciencedirect.com/science/article/pii/S092180091000159X","Oelofse, Myles; Høgh-Jensen, Henning; Abreu, Lucimar S.; Almeida, Gustavo F.; Hui, Qiao Yu; Sultan, Tursinbek; de Neergaard, Andreas","relations regain balance and farmers adapt their management accordingly (Parrot","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/management of parrot.txt","management of parrot",2010
"4","Ecological Economics","Elsevier","579eb8e4cf58f1ba4e423eef","Certified organic agriculture in China and Brazil: Market accessibility and outcomes following adoption","10.1016/j.ecolecon.2010.04.016","15 July 2010","http://www.sciencedirect.com/science/article/pii/S092180091000159X","Oelofse, Myles; Høgh-Jensen, Henning; Abreu, Lucimar S.; Almeida, Gustavo F.; Hui, Qiao Yu; Sultan, Tursinbek; de Neergaard, Andreas","their management accordingly (Parrot et al., 2006), although organic yields typically","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/management of parrot.txt","management of parrot",2010
"5","Ecological Monographs","Wiley","58386007cf58f193f22ca1b3","ANATOMY OF A BOTTLENECK: DIAGNOSING FACTORS LIMITING POPULATION GROWTH IN THE PUERTO RICAN PARROT","10.1890/07-0018.1","2008 05","http://doi.wiley.com/10.1890/07-0018.1","Beissinger, Steven R.; Wunderle, Joseph M.; Meyers, J. Michael; Sæther, Bernt-Erik; Engen, Steinar","growth (Fig. 8). Management recommendations Active management of parrot nests has","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/management of parrot.txt","management of parrot",2008
"6","Ecological Monographs","Wiley","58386007cf58f193f22ca1b3","ANATOMY OF A BOTTLENECK: DIAGNOSING FACTORS LIMITING POPULATION GROWTH IN THE PUERTO RICAN PARROT","10.1890/07-0018.1","2008 05","http://doi.wiley.com/10.1890/07-0018.1","Beissinger, Steven R.; Wunderle, Joseph M.; Meyers, J. Michael; Sæther, Bernt-Erik; Engen, Steinar","recommendations Active management of parrot nests has largely reduced the effects of","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/management of parrot.txt","management of parrot",2008
"7","Zoo Biology","Wiley","572480ffcf58f10d61e5b1b2","Strategic collection planning: Theory and practice","10.1002/zoo.1430140103","1995","http://doi.wiley.com/10.1002/zoo.1430140103","Hutchins, Michael; Willis, Kevin; Wiese, Robert J.","PARROTS: AN ACTION PLAN FOR THEIR CONSERVATION AND MANAGEMENT. ICBP Parrot Specialist","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/management of parrot.txt","management of parrot",1995
"8","Zoo Biology","Wiley","572480ffcf58f10d61e5b1b2","Strategic collection planning: Theory and practice","10.1002/zoo.1430140103","1995","http://doi.wiley.com/10.1002/zoo.1430140103","Hutchins, Michael; Willis, Kevin; Wiese, Robert J.","CONSERVATION AND MANAGEMENT. ICBP Parrot Specialist Group and IUCNiSSC Captive Breeding","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/management of parrot.txt","management of parrot",1995
"9","Fisheries Management and Ecology","Wiley","57177207cf58f1605db2c970","The effect of a closed area and beach seine exclusion on coral reef fish catches","10.1046/j.1365-2400.2001.00239.x","April 2001","http://doi.wiley.com/10.1046/j.1365-2400.2001.00239.x","McClanahan, T. R.; Mangi, S.","sample size for beach seines collected before the management changed. Parrot®shes","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/management of parrot.txt","management of parrot",2001
"10","Fisheries Management and Ecology","Wiley","57177207cf58f1605db2c970","The effect of a closed area and beach seine exclusion on coral reef fish catches","10.1046/j.1365-2400.2001.00239.x","April 2001","http://doi.wiley.com/10.1046/j.1365-2400.2001.00239.x","McClanahan, T. R.; Mangi, S.","before the management changed. Parrot®shes (largely Leptoscarus), octopus, scavengers","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/management of parrot.txt","management of parrot",2001
"11","Avian Pathology","Taylor and Francis","5966950dcf58f17674658477","A novel herpesvirus associated with respiratory disease in Bourke's parrots ( Neopsephotus bourkii )","10.1080/03079457.2012.732692","2012 12","http://www.tandfonline.com/doi/abs/10.1080/03079457.2012.732692","Shivaprasad, H. L.; Phalen, D. N.","by the international trade in parrots, and in the management of parrot species","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/management of parrot.txt","management of parrot",2012
"12","Avian Pathology","Taylor and Francis","5966950dcf58f17674658477","A novel herpesvirus associated with respiratory disease in Bourke's parrots ( Neopsephotus bourkii )","10.1080/03079457.2012.732692","2012 12","http://www.tandfonline.com/doi/abs/10.1080/03079457.2012.732692","Shivaprasad, H. L.; Phalen, D. N.","parrots, and in the management of parrot species being bred for release for conservation","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/management of parrot.txt","management of parrot",2012
"13","Journal of Field Ornithology","Wiley","5c4deae31faed65548940219","Avian research in the Caribbean: past contributions and current priorities","10.1111/j.1557-9263.2012.00361.x","2012 06","http://doi.wiley.com/10.1111/j.1557-9263.2012.00361.x","Latta, Steven C.","had particular signiﬁcance for threatened species management, especially parrot","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/management of parrot.txt","management of parrot",2012
"14","Journal of Field Ornithology","Wiley","5c4deae31faed65548940219","Avian research in the Caribbean: past contributions and current priorities","10.1111/j.1557-9263.2012.00361.x","2012 06","http://doi.wiley.com/10.1111/j.1557-9263.2012.00361.x","Latta, Steven C.","species management, especially parrot biology and conservation, but also for tropical","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/management of parrot.txt","management of parrot",2012
"15","Security and Privacy","Wiley","5d154b190b45c76caf905931","A review and an empirical analysis of privacy policy and notices for consumer Internet of things","10.1002/spy2.15","","http://doi.wiley.com/10.1002/spy2.15","Perez, Alfredo J.; Zeadally, Sherali; Cochran, Jonathan","Cycles  loudspeaker, horn  Transportation, leisure, fitness management  Drone  Parrot Bebop,","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/management of parrot.txt","management of parrot",NA
"16","Security and Privacy","Wiley","5d154b190b45c76caf905931","A review and an empirical analysis of privacy policy and notices for consumer Internet of things","10.1002/spy2.15","","http://doi.wiley.com/10.1002/spy2.15","Perez, Alfredo J.; Zeadally, Sherali; Cochran, Jonathan","leisure, fitness management  Drone  Parrot Bebop, DJI Phantom 4 Pro+, 3D Robotics solo","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/management of parrot.txt","management of parrot",NA
